WWTP_ID	Sample_ID	run_accession	instrument	read_count	fastq_ftp	fastq_bytes	fastq_md5
CNXA1	CNXA1C	SRR8300938	Illumina MiSeq	55611	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/008/SRR8300938/SRR8300938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/008/SRR8300938/SRR8300938_2.fastq.gz	7284892;8623226	b35a558f4903672701fea3008841566d;fc09beb1ab5f9c53ed2f168d226ab0ee
USDC1	USDC2C	SRR8300976	Illumina MiSeq	50174	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/006/SRR8300976/SRR8300976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/006/SRR8300976/SRR8300976_2.fastq.gz	5066266;5337694	5d3399621bb10d27f58feb61d3c4cf2b;a08971c314fc46574ae1883898ccb63c
CNBJ3	CNBJ3C	SRR8301640	Illumina MiSeq	83732	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/000/SRR8301640/SRR8301640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/000/SRR8301640/SRR8301640_2.fastq.gz	11132897;12154541	bddead8c8ce610f82297edd6030583a3;cdd6c2433ca29e9f61d8848cf7835ed7
CLVPT	CLVPT3	SRR8298218	Illumina MiSeq	79874	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8298218/SRR8298218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8298218/SRR8298218_2.fastq.gz	7738495;10409313	415cbb9ed5483e36d68ccc71bbbc8b81;aa12aaeec66fa52129c3a8bba9ec3ae6
AUBR1	AUBR2C	SRR8298203	Illumina MiSeq	44325	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8298203/SRR8298203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8298203/SRR8298203_2.fastq.gz	4548893;5801471	73f25285be518150932357538dce12eb;7d56f66c90c75310a88299fa57cfae32
SESD1	SESD3C	SRR8301032	Illumina MiSeq	74868	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/002/SRR8301032/SRR8301032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/002/SRR8301032/SRR8301032_2.fastq.gz	8495182;9281880	ef8f283c44fd46999267a50379483b34;bce895b498ce455b8aa51687757d3b55
TWKS1	TWKS1C	SRR8301325	Illumina MiSeq	281092	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/005/SRR8301325/SRR8301325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/005/SRR8301325/SRR8301325_2.fastq.gz	30446311;37872298	87da9ce0e08babe2be6cb05afad80cf9;1e21a88ca0adc5f8d9f37ae72173d617
SGEA1	SGEA1C	SRR8301172	Illumina MiSeq	52715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/002/SRR8301172/SRR8301172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/002/SRR8301172/SRR8301172_2.fastq.gz	5326468;6231740	98969a6d94b38b14834820cf0d9fbd7b;adbf0b0dfd21ae379b1dfc0a9baed9e2
USVA1	USVA1C	SRR8301621	Illumina MiSeq	44177	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/001/SRR8301621/SRR8301621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/001/SRR8301621/SRR8301621_2.fastq.gz	4636858;6106296	138a222729fc25edf0a51b5b07676171;a66465768b57a73f0a7d731f2f71f4e4
DEHE1	DEHE1C	SRR8301710	Illumina MiSeq	48502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/000/SRR8301710/SRR8301710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/000/SRR8301710/SRR8301710_2.fastq.gz	5728684;6757488	b335c7168d97d82ee89053f260ebe407;412a1cce2761cbfca04bd62822acae67
USNO2	USNO2F	SRR8301861	Illumina MiSeq	47540	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/001/SRR8301861/SRR8301861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/001/SRR8301861/SRR8301861_2.fastq.gz	5069257;6015746	ceee82252d4a5d332ff06c70d0e13e5d;43c77230633ed261c286faaceb1a814a
SAKB1	SAKB6	SRR8298053	Illumina MiSeq	54982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8298053/SRR8298053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8298053/SRR8298053_2.fastq.gz	6039277;8094604	a1e6aa10fb61fc5609fc65e4118fc570;d2a7aaded21bb3553761a446eb33a5fc
CAON4	CAON4BC	SRR8301341	Illumina MiSeq	53796	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/001/SRR8301341/SRR8301341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/001/SRR8301341/SRR8301341_2.fastq.gz	5322423;5955812	32b3b97cf4f3b1d53e1d25edbc69bd38;687d2b6e19bc8e861b45cc14c3ac080d
CNDL1	CNDL1BC	SRR8301495	Illumina MiSeq	48669	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/005/SRR8301495/SRR8301495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/005/SRR8301495/SRR8301495_2.fastq.gz	5543543;6985857	821ae729993ab2cb25bac9712dc709a3;f88b32eb9ba18b698ca3dcc94cadc165
USMI4	USMI4C	SRR8301678	Illumina MiSeq	45546	ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/008/SRR8301678/SRR8301678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR830/008/SRR8301678/SRR8301678_2.fastq.gz	4728276;5083245	5bb403d172f48439ae63f0f898fa554b;cb33a1d79cd1396a4f2494cb49c71522
