run_accession	WWTP_ID	Sample_ID	SiteID	Site Name	Sampling Date	Geological Level - Latitude	Geological Level - Longitude	Geological Level - City Name	Geological Level - Country/Region	Geological Level - Continent	Geological Level - Climate type	Geological Level - Ambient temperature (oC) - Annual average	Geological Level - Ambient temperature (oC) - Annual mean of daily maximum	Geological Level - Ambient temperature (oC) - Annual mean of daily minimum	Geological Level - Ambient temperature (oC) - Sampling month average	Geological Level - Ambient temperature (oC) - Sampling moment	Geological Level - Precipitation (mm) - Annual	Geological Level - Precipitation (mm) - Sampling month	Geological Level - City development index - GDP per capita (dollars)	Geological Level - City development index - City population	Plant Level - Year of plant build	Plant Level - Design and operation - Designed capacity (m3/d)	Plant Level - Design and operation - Actual Inf rate (m3/d)	Plant Level - Design and operation - Volume of aeration tanks (m3)	Plant Level - Design and operation - HRT (hr) - Plant	Plant Level - Design and operation - HRT (hr) - Aeration tank	Plant Level - Design and operation - SRT (d)	Plant Level - Process - AS process type - General type	Plant Level - Process - AS process type - Detailed type	Plant Level - Process - Nitrification	Plant Level - Process - Denitrification	Plant Level - Process - Aerator type	Plant Level - Monitoring - BOD (mg/l) - Inf	Plant Level - Monitoring - BOD (mg/l) - inf/(1+recycle ratio)	Plant Level - Monitoring - BOD (mg/l) - Aeration tank inf	Plant Level - Monitoring - BOD (mg/l) - Eff	Plant Level - Monitoring - COD (mg/l) - Inf	Plant Level - Monitoring - COD (mg/l) - Inf/(1+recycle ratio)	Plant Level - Monitoring - COD (mg/l) - Aeration tank inf	Plant Level - Monitoring - COD (mg/l) - Eff	Plant Level - Monitoring - F/M (kg BOD/kg MLSS-d)	Plant Level - Monitoring - NH4-N (mg/l) - Inf	Plant Level - Monitoring - NH4-N (mg/l) - Aeration tank inf	Plant Level - Monitoring - NH4-N (mg/l) - Eff	Plant Level - Monitoring - TN (mg/l) - Inf	Plant Level - Monitoring - TN (mg/l) - Aeration tank inf	Plant Level - Monitoring - TN (mg/l) - Eff	Plant Level - Monitoring - TP (mg/l) - Inf	Plant Level - Monitoring - TP (mg/l) - Aeration tank inf	Plant Level - Monitoring - TP (mg/l) - Eff	Plant Level - Monitoring - Industry wastewater source - Contained in Inf?	Plant Level - Monitoring - Industry wastewater source - Percentage	Sample Level - MLSS (mg/l)	Sample Level - DO (mg/l)	Sample Level - pH	Sample Level - Mixed liquid temperature (oC)	Sample Level - Conductivity (μS/cm)	Sample Level - NH4-N (mg/l)	Sample Level - NO3-N (mg/l)	Sample Level - SVI (ml/g)
SRR8300938	CNXA1	CNXA1C	CNXA	Xian	2014-07-30	34.300057	109.035153	Xian	China	Asia	Dwa	13.88888889	33.33333333	-3.333333333	29.11	NA	528	90.0	14473.0	8580800.0	2006.0	100000.0	149000.0	26900.0	18.0	2.3	22.0	oxidation ditch	Oxidation ditch	Yes	Yes	NA	250.0	131.5789474	NA	10.0	500.0	263.1578947	NA	22.0	0.349863154	25.0	NA	0.43	35.0	NA	6.5	6.5	NA	0.1	Yes	0.3	3958.0	0.69	7.19	27.9	1108.0	NA	NA	NA
SRR8300976	USDC1	USDC2C	USDC	Washington DC	2014-09-15	38.820406	-77.0185494	Washington DC	United States	North America	Cfa	15.0	31.0	-10.0	23.0	NA	1023	88.0	73017.0	6056296.0	1939.0	1400602.36	1075056.947	105991.53	20.0	2.0	2.5	plug flow	Step-feed	Yes	Yes	NA	172.72	NA	NA	1.4	NA	NA	NA	NA	0.183346341	NA	NA	0.3	NA	NA	3.37	5.07	NA	0.06	NA	NA	1911.0	0.73	7.53	24.1	NA	NA	NA	NA
SRR8301640	CNBJ3	CNBJ3C	CNBJ	Beijing	2014-08-01	39.895727	116.529684	Beijing	China	Asia	Dwa	13.33333333	31.11111111	-7.222222222	28.1	NA	610	190.0	23390.0	21639100.0	1993.0	500000.0	490000.0	80352.0	15.3	8.38	5.0	plug flow	Plug flow	Yes	No	NA	175.0	102.9411765	NA	9.0	450.0	264.7058824	NA	29.5	0.333493566	26.0	26.0	NA	35.0	35.0	NA	3.42	3.42	NA	No	0.0	3200.0	6.28	7.17	26.2	846.0	NA	NA	NA
SRR8298218	CLVPT	CLVPT3	CLST	Santiago	2015-01-30	-33.540667	-70.835833	Santiago	Chile	South America	Csb	15.0	24.0	3.0	22.0	NA	365	2.0	23929.0	7164400.0	2001.0	570240.0	533161.0	136668.0	5.0	2.3	1.93	complete mix	Complete mix 	No	No	NA	297.0	148.5	122.0	3.0	531.0	265.5	281.0	48.0	0.891260444	31.8	31.8	NA	67.5	NA	34.2	6.0	NA	1.96	No	0.0	1300.0	1.76	7.71	24.4	NA	NA	NA	NA
SRR8298203	AUBR1	AUBR2C	AUBR	Brisbane	2015-02-25	-27.433954	153.088491	Brisbane	Australia	Australasia	Cfa	20.0	29.0	11.0	24.0	NA	1168	165.0	42103.0	2294900.0	2006.0	53000.0	50000.0	35050.0	55.0	36.0	21.0	oxidation ditch	Oxidation ditch	Yes	Yes	NA	327.0	NA	NA	5.0	905.0	NA	NA	25.0	0.119609349	53.0	0.04	2.85	67.0	NA	4.7	15.0	NA	1.5	Yes	0.15	3900.0	0.3	6.8	27.4	NA	NA	NA	NA
SRR8301032	SESD1	SESD3C	SESW	Gothenburg	2015-07-03	56.899453	12.438149	Falkenberg	Sweden	Europe	Dfb	10.0	26.0	-8.0	16.0	NA	777	78.0	40331.0	992000.0	1968.0	17000.0	17027.0	3300.0	NA	NA	20.7	plug flow	Plug flow	Yes	Yes	NA	193.0	64.33333333	1313.0	3.9	NA	NA	NA	NA	0.248955379	31.6	4.5	1.1	53.0	58.5	4.5	6.9	2.7	0.2	Yes	0.2	4000.0	5.64	7.67	24.5	NA	NA	NA	NA
SRR8301325	TWKS1	TWKS1C	TWST	South Taiwan	2014-07-10	22.728158	120.269245	South Taiwan	Taiwan (ROC)	Asia	Cfa	25.6	30.3	19.5	30.3	NA	1738	360.0	40534.0	2803700.0	2009.0	75000.0	35000.0	6400.0	18.5	8.88	12.5	plug flow	Plug flow	No	No	NA	45.0	25.0	45.0	3.5	110.0	61.11111111	110.0	25.0	0.123046875	25.0	25.0	10.0	NA	NA	NA	NA	NA	NA	No	0.0	2000.0	0.2	6.2	31.0	NA	NA	NA	NA
SRR8301172	SGEA1	SGEA1C	SGSG	Singapore	2014-07-31	1.316841	104.00547	Singapore	Singapore	Asia	Af	26.98	31.7	23.3	28.0	NA	2378	165.0	66864.0	5472700.0	2008.0	800000.0	840000.0	43200.0	5.7	2.8	5.0	plug flow	Plug flow	Yes	Yes	NA	200.0	133.3333333	NA	8.0	500.0	333.3333333	NA	40.0	0.2765	32.0	32.0	2.0	42.0	42.0	5.0	5.0	5.0	2.5	No	0.0	3348.0	1.8	6.5	30.0	NA	NA	NA	NA
SRR8301621	USVA1	USVA1C	USVA	Virginia Beach	2014-09-15	36.921475	-76.324737	Virginia Beach	United States	North America	Cfa	16.0	31.0	-8.0	23.0	NA	1141	104.0	53661.0	1716481.0	1948.0	68137.41211	38573.34608	7449.6672	4.5	2.31	1.3	plug flow	Plug flow	No	No	NA	250.0	NA	110.0	6.0	424.0	266.6666667	NA	NA	0.681297585	28.0	26.8	23.9	NA	NA	26.84	4.6	6.2	0.81	Yes	0.075	1900.0	3.65	6.81	24.9	NA	NA	NA	NA
SRR8301710	DEHE1	DEHE1C	DESW	DESW	2014-07-31	49.102551	NA	DEHE	Germany	Europe	Cfb	12.0	26.0	-7.0	18.0	19.0	698	68.0	44476.0	3081900.0	1977.0	NA	19239.0	8880.0	NA	NA	10.0	complete mix	Complete mix	Yes	Yes	NA	265.0	NA	NA	5.0	479.0	NA	NA	25.0	0.149126448	33.5	NA	0.2	38.5	NA	13.3	4.9	NA	0.6	Yes	0.1	3850.0	0.7	6.75	19.5	NA	NA	NA	NA
