WWTP_ID	Sample_ID	Continent	Country	City	Climate_type	Process_general	Process_detail	Nitrification	Denitrification	SRT_days	FM_ratio	BOD_inf_mgL	Ann_temp_C	MLSS_mgL	DO_mgL	pH	TN_removal_pct	Rationale
USNO2	USNO2F	North America	United States	Oklahoma City	Cfa	plug flow	Plug flow	No	No	65.0	0.011	72.5	15.0	6164.0	0.4	7.49		Extreme long SRT (65 d), no N-removal design
USVA1	USVA1C	North America	United States	Virginia Beach	Cfa	plug flow	Plug flow	No	No	1.3	0.681	250.0	16.0	1900.0	3.65	6.81		Extreme short SRT (1.3 d), no N-removal design
USDC1	USDC2C	North America	United States	Washington DC	Cfa	plug flow	Step-feed	Yes	Yes	2.5	0.212	172.72	15.0	1911.0	0.73	7.53		Nitrif+denitrif, very low DO; 12 timepoints available if replicate sampling wanted
USMI4	USMI4C	North America	United States	Ann Arbor	Dfa	oxidation ditch	Oxidation ditch with extended aeration	Yes	Yes	30.0	0.045	216.0	7.0	4250.0	7.5	7.7		Long SRT (30 d), nitrification-only, oxidation ditch
CNBJ3	CNBJ3C	Asia	China	Beijing	Dwa	plug flow	Plug flow	Yes	No	5.0	0.333	175.0	13.3	3200.0	6.28	7.17		Short SRT (5 d), nitrification-only, cold continental climate
CNDL1	CNDL1BC	Asia	China	Dalian	Dwa	plug flow	Plug flow	Yes	Yes	30.0	0.013	105.0	12.2	2165.0	5.3	6.49	61.7	Long SRT (30 d), nitrif+denitrif, same country as CNBJ3/CNXA1 (SRT gradient within China)
CNXA1	CNXA1C	Asia	China	Xian	Dwa	oxidation ditch	Oxidation ditch	Yes	Yes	22.0	0.35	250.0	13.9	3958.0	0.69	7.19	81.4	Mid SRT (22 d), nitrif+denitrif, oxidation ditch
SGEA1	SGEA1C	Asia	Singapore	Singapore	Af	plug flow	Plug flow	Yes	Yes	5.0	0.276	200.0	27.0	3348.0	1.8	6.5	88.1	Tropical climate, short SRT, high TN removal (88%)
TWKS1	TWKS1C	Asia	Taiwan (ROC)	South Taiwan	Cfa	plug flow	Plug flow	No	No	12.5	0.123	45.0	25.6	2000.0	0.2	6.2		Tropical climate, no N-removal design (contrast to SGEA1)
AUBR1	AUBR2C	Australasia	Australia	Brisbane	Cfa	oxidation ditch	Oxidation ditch	Yes	Yes	21.0	0.12	327.0	20.0	3900.0	0.3	6.8	93.0	Southern hemisphere, oxidation ditch, nitrif+denitrif, high TN removal
SESD1	SESD3C	Europe	Sweden	Falkenberg	Dfb	plug flow	Plug flow	Yes	Yes	20.7	0.243	193.0	10.0	4000.0	5.64	7.67	91.5	Cold climate, very high DO, nitrif+denitrif
DEHE1	DEHE1C	Europe	Germany	DEHE	Cfb	complete mix	Complete mix	Yes	Yes	10.0	0.149	265.0	12.0	3850.0	0.7	6.75	65.5	Cold climate, complete-mix process, nitrif+denitrif
SAKB1	SAKB6	Africa	South Africa	Durban	Cfa	A2O	UCT	Yes	Yes	28.0	0.097	473.0	18.0	3780.0	1.1	7.35		Only African representative, A2O/UCT process (biological P + N removal)
CLVPT	CLVPT3	South America	Chile	Santiago	Csb	complete mix	Complete mix 	No	No	1.93	0.858	297.0	15.0	1300.0	1.76	7.71	49.3	South American representative, extreme short SRT, no N-removal
CAON4	CAON4BC	North America	Canada	Guelph	Dfb	AO	Complete mix EBPR	No	Yes	2.0	0.686	124.1	6.0	2528.0	3.32	7.38		EBPR-focused (AO) process, denitrification without nitrification (unusual config)
