run_accession	sample_accession	sample_alias	sample_group	host	host_species	inoculum	compartment	nutrient	experiment_round	growth_chamber	bio_replicate	read_count	fastq_gb	instrument_model	note
SRR29709935	SAMN42329045	At_NS_ES_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	NS	ES				B4	3247344	0.412	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709938	SAMN42329042	At_NS_ES_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	NS	ES				B1	2686499	0.297	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709940	SAMN42329040	At_NS_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	ES	high			B3	4426076	0.51	Illumina NovaSeq 6000	
SRR29709941	SAMN42329039	At_NS_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	ES	high			B2	5549144	0.639	Illumina NovaSeq 6000	
SRR29709945	SAMN42328973	At_AtSC_ES_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	ES				B4	2660511	0.286	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709946	SAMN42329035	At_LjSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	RZ	low			B2	46579	0.006	Illumina NovaSeq 6000	
SRR29709956	SAMN42328972	At_AtSC_ES_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	ES				B3	4032262	0.469	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709959	SAMN42329350	R1_At_GC2_SSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES		R1	GC2	B3	25266	0.003	Illumina NovaSeq 6000	
SRR29709962	SAMN42329347	R1_At_GC2_LjSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES		R1	GC2	B4	1968161	0.201	Illumina NovaSeq 6000	
SRR29709965	SAMN42329345	R1_At_GC2_LjSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES		R1	GC2	B1	1504400	0.16	Illumina NovaSeq 6000	
