run_accession	sample_alias	sample_group	host	host_species	inoculum	compartment	nutrient	bio_replicate	read_count	note	fastq_r1_ftp	fastq_r1_md5	fastq_r1_bytes	fastq_r2_ftp	fastq_r2_md5	fastq_r2_bytes
SRR29710347	Hv_HvSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high	B3	2480247	nutrient swapped low->high: low-nutrient RZ runs for this cell had <150K reads (too shallow for assembly/binning)	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/047/SRR29710347/SRR29710347_1.fastq.gz	2ea9a08c83d01ad1cf75a0e5c731616b	157392544	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/047/SRR29710347/SRR29710347_2.fastq.gz	312b73dfbeef9cf31cf3e55e7f37e3da	172231937
SRR29710349	Hv_HvSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high	B1	3869345	nutrient swapped low->high: low-nutrient RZ runs for this cell had <150K reads (too shallow for assembly/binning)	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/049/SRR29710349/SRR29710349_1.fastq.gz	435fcc8331cdc9ee08a9228e8b6646d4	247808946	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/049/SRR29710349/SRR29710349_2.fastq.gz	5c429ca4d36fec784bed9e845be209f9	270250435
SRR29710222	Hv_HvSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low	B2	10337461		https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/022/SRR29710222/SRR29710222_1.fastq.gz	7b17f2de329187dcf5155b9bc0343e46	593715384	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/022/SRR29710222/SRR29710222_2.fastq.gz	3bd96675cd9d0e9a4f3c34ec688e5a12	620215768
SRR29710350	Hv_HvSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low	B4	6404735		https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/050/SRR29710350/SRR29710350_1.fastq.gz	21c224289dd96250b6cb5b4d63a28471	362926390	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/050/SRR29710350/SRR29710350_2.fastq.gz	3c127400eb65c5b63bd5ec124efa260d	385216438
SRR29710223	Hv_HvSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low	B1	8938000		https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/023/SRR29710223/SRR29710223_1.fastq.gz	afd96dbe95a5619b218ad6f37b527b69	517417730	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/023/SRR29710223/SRR29710223_2.fastq.gz	8ec7f5dc83756bf8f14253ff9c3476cf	543956385
SRR29710348	Hv_HvSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high	B2	2762499	nutrient swapped low->high: low-nutrient RZ runs for this cell had <150K reads (too shallow for assembly/binning)	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/048/SRR29710348/SRR29710348_1.fastq.gz	8efdb1249c819bd7a48d154fe5d07bf1	178210119	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/048/SRR29710348/SRR29710348_2.fastq.gz	abe4dc09445c64311df404ace74efafb	193833197
SRR29710352	Hv_HvSC_ES_low_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low	B3	11471592		https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/052/SRR29710352/SRR29710352_1.fastq.gz	e6a85979f6dcc364403be406fa5bb92f	660146651	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/052/SRR29710352/SRR29710352_2.fastq.gz	4af1be393f72a906289b7850dcb4f216	718549125
SRR29710346	Hv_HvSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high	B4	1984197	nutrient swapped low->high: low-nutrient RZ runs for this cell had <150K reads (too shallow for assembly/binning)	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/046/SRR29710346/SRR29710346_1.fastq.gz	359e280b06809f424b0ed31a6215f5ce	134452036	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/046/SRR29710346/SRR29710346_2.fastq.gz	59375da5c7e1bca4c02e20c5fe0d6193	135328493
SRR29710197	Lj_HvSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	low	B2	1782143		https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/097/SRR29710197/SRR29710197_1.fastq.gz	f666c2aa60c239b22c9b167c2e5c1223	99396247	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/097/SRR29710197/SRR29710197_2.fastq.gz	3ab5ce451fb19b2475366ab1700b3659	105437093
SRR29710315	Lj_HvSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	high	B2	2687442	nutrient swapped low->high: low-nutrient RZ runs for this cell had <150K reads (too shallow for assembly/binning)	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/015/SRR29710315/SRR29710315_1.fastq.gz	c432ef14c84261d64cd807dfa3ae9671	168342102	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/015/SRR29710315/SRR29710315_2.fastq.gz	453309aa46bda76874507a5ca2408f66	182504705
