file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709993_1.fastq.gz	FASTQ	DNA	3403303	423942372	16	124.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709994_1.fastq.gz	FASTQ	DNA	1956805	251207478	16	128.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709995_1.fastq.gz	FASTQ	DNA	1790756	217835612	16	121.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709996_1.fastq.gz	FASTQ	DNA	3980188	511845404	15	128.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710001_1.fastq.gz	FASTQ	DNA	3338213	394467425	16	118.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710002_1.fastq.gz	FASTQ	DNA	3932756	511966953	17	130.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710004_1.fastq.gz	FASTQ	DNA	4295578	558664073	17	130.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710005_1.fastq.gz	FASTQ	DNA	2789401	353158837	1	126.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710010_1.fastq.gz	FASTQ	DNA	695348	85528370	17	123.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710014_1.fastq.gz	FASTQ	DNA	3515736	456295654	18	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710015_1.fastq.gz	FASTQ	DNA	132838	17482357	19	131.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710017_1.fastq.gz	FASTQ	DNA	374336	48604462	19	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710018_1.fastq.gz	FASTQ	DNA	1374939	184268939	19	134.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710019_1.fastq.gz	FASTQ	DNA	2567125	326617365	1	127.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710020_1.fastq.gz	FASTQ	DNA	1434995	183457373	18	127.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710021_1.fastq.gz	FASTQ	DNA	1893823	245255915	19	129.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710022_1.fastq.gz	FASTQ	DNA	1384614	174358501	19	125.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710023_1.fastq.gz	FASTQ	DNA	1940159	264289481	18	136.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710024_1.fastq.gz	FASTQ	DNA	341805	51118125	1	149.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710025_1.fastq.gz	FASTQ	DNA	3052474	395419058	19	129.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710026_1.fastq.gz	FASTQ	DNA	1951203	255932391	18	131.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710194_1.fastq.gz	FASTQ	DNA	432782	47140944	17	108.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710196_1.fastq.gz	FASTQ	DNA	269966	32712750	1	121.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710197_1.fastq.gz	FASTQ	DNA	336659	37726695	18	112.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710198_1.fastq.gz	FASTQ	DNA	156105	15848689	1	101.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710203_1.fastq.gz	FASTQ	DNA	3346730	429320509	16	128.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710204_1.fastq.gz	FASTQ	DNA	1553608	190268351	16	122.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710206_1.fastq.gz	FASTQ	DNA	1581653	220185087	16	139.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710207_1.fastq.gz	FASTQ	DNA	2999796	395281855	17	131.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710212_1.fastq.gz	FASTQ	DNA	270469	30484462	16	112.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710213_1.fastq.gz	FASTQ	DNA	208936	25513428	15	122.1	151
