run	alias	mode	pairs_in	pairs_removed	pct_removed	pairs_out	status
SRR29710352	Hv_HvSC_ES_low_B3	Hv	11471588	10814373	94.27	657215	OK
SRR29710222	Hv_HvSC_ES_low_B2	Hv	10337456	9750417	94.32	587039	OK
SRR29710223	Hv_HvSC_ES_low_B1	Hv	8937995	8292776	92.78	645219	OK
SRR29710317	Lj_HvSC_NOD_low_B4	Lj	8206411	1126426	13.73	7079985	OK
SRR29710319	Lj_HvSC_NOD_low_B2	Lj	8049550	987584	12.27	7061966	OK
SRR29710320	Lj_HvSC_NOD_low_B1	Lj	7891074	997825	12.64	6893249	OK
SRR29710350	Hv_HvSC_ES_low_B4	Hv	6404732	6026511	94.09	378221	OK
SRR29710318	Lj_HvSC_NOD_low_B3	Lj	5349610	577934	10.80	4771676	OK
SRR29710302	Lj_LjSC_ES_low_B1	Lj	5121848	4307018	84.09	814830	OK
SRR29710004	Lj_LjSC_NOD_low_B2	Lj	4761592	466014	9.79	4295578	OK
SRR29710010	Lj_LjSC_ES_low_B4	Lj	4613512	3918164	84.93	695348	OK
SRR29709996	Lj_LjSC_RZ_low_B1	Lj	4267996	287808	6.74	3980188	OK
SRR29710002	Lj_LjSC_NOD_low_B3	Lj	4251661	318905	7.50	3932756	OK
SRR29710349	Hv_HvSC_RZ_high_B1	Hv	3869344	363635	9.40	3505709	OK
SRR29710001	Lj_LjSC_NOD_low_B4	Lj	3755152	416939	11.10	3338213	OK
SRR29709993	Lj_LjSC_RZ_low_B4	Lj	3644216	240913	6.61	3403303	OK
SRR29710014	Input_LjSC_B4	Input	3521517	5781	0.16	3515736	OK
SRR29710203	Lj_AtSC_RZ_low_B4	Lj	3477674	130944	3.77	3346730	OK
SRR29710005	Lj_LjSC_NOD_low_B1	Lj	3184908	395507	12.42	2789401	OK
SRR29710207	Lj_AtSC_RZ_low_B1	Lj	3120887	121091	3.88	2999796	OK
SRR29710025	Input_AtSC_B2	Input	3056954	4480	0.15	3052474	OK
SRR29710348	Hv_HvSC_RZ_high_B2	Hv	2762499	371716	13.46	2390783	OK
SRR29710315	Lj_HvSC_RZ_high_B2	Lj	2687442	220776	8.22	2466666	OK
SRR29710019	Input_HvSC_B4	Input	2570921	3796	0.15	2567125	OK
SRR29710347	Hv_HvSC_RZ_high_B3	Hv	2480247	255773	10.31	2224474	OK
SRR29710213	Lj_AtSC_ES_low_B3	Lj	2341510	2132574	91.08	208936	OK
SRR29710212	Lj_AtSC_ES_low_B4	Lj	2320364	2049895	88.34	270469	OK
SRR29710214	Lj_AtSC_ES_low_B2	Lj	2182477	1889745	86.59	292732	OK
SRR29710266	R1_Input_LjSC	Input	2086496	111	0.01	2086385	OK
SRR29709994	Lj_LjSC_RZ_low_B3	Lj	2083753	126948	6.09	1956805	OK
SRR29710346	Hv_HvSC_RZ_high_B4	Hv	1984196	284671	14.35	1699525	OK
SRR29710312	Lj_HvSC_RZ_high_B4	Lj	1963931	139230	7.09	1824701	OK
SRR29710026	Input_AtSC_B1	Input	1955881	4678	0.24	1951203	OK
SRR29710023	Input_AtSC_B4	Input	1943242	3083	0.16	1940159	OK
SRR29709995	Lj_LjSC_RZ_low_B2	Lj	1914833	124077	6.48	1790756	OK
SRR29710021	Input_HvSC_B2	Input	1895482	1659	0.09	1893823	OK
SRR29710196	Lj_HvSC_ES_low_B3	Lj	1878906	1608940	85.63	269966	OK
SRR29710316	Lj_HvSC_RZ_high_B1	Lj	1844064	68101	3.69	1775963	OK
SRR29710197	Lj_HvSC_ES_low_B2	Lj	1782141	1445482	81.11	336659	OK
SRR29710194	Lj_HvSC_ES_low_B4	Lj	1728239	1295457	74.96	432782	OK
SRR29710204	Lj_AtSC_RZ_low_B3	Lj	1727791	174183	10.08	1553608	OK
SRR29710206	Lj_AtSC_RZ_low_B2	Lj	1641174	59521	3.63	1581653	OK
SRR29710313	Lj_HvSC_RZ_high_B3	Lj	1557520	129094	8.29	1428426	OK
SRR29710020	Input_HvSC_B3	Input	1437859	2864	0.20	1434995	OK
SRR29710022	Input_HvSC_B1	Input	1386028	1414	0.10	1384614	OK
SRR29710018	Input_LjSC_B1	Input	1378086	3147	0.23	1374939	OK
SRR29710301	Lj_LjSC_ES_low_B2	Lj	1255881	945224	75.26	310657	OK
SRR29710198	Lj_HvSC_ES_low_B1	Lj	936641	780536	83.33	156105	OK
SRR29710265	R1_Input_LjSC_2	Input	719718	123	0.02	719595	OK
SRR29710268	R1_Input_AtSC	Input	686881	131	0.02	686750	OK
SRR29710017	Input_LjSC_B2	Input	375276	940	0.25	374336	OK
SRR29710024	Input_AtSC_B3	Input	342298	493	0.14	341805	OK
SRR29710300	Lj_LjSC_ES_low_B3	Lj	174589	156017	89.36	18572	OK
SRR29710267	R1_Input_HvSC	Input	141319	6	0.00	141313	OK
SRR29710015	Input_LjSC_B3	Input	132964	126	0.09	132838	OK
SRR29710215	Lj_AtSC_ES_low_B1	Lj	102337	93028	90.90	9309	OK
