file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709993_1.fastq.gz	FASTQ	DNA	3644216	448653993	2	123.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709993_2.fastq.gz	FASTQ	DNA	3644216	449313551	1	123.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709994_1.fastq.gz	FASTQ	DNA	2083753	265708524	2	127.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709994_2.fastq.gz	FASTQ	DNA	2083753	266028000	2	127.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709995_1.fastq.gz	FASTQ	DNA	1914833	231040278	3	120.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709995_2.fastq.gz	FASTQ	DNA	1914833	230792027	3	120.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709996_1.fastq.gz	FASTQ	DNA	4267996	544410371	3	127.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29709996_2.fastq.gz	FASTQ	DNA	4267996	544563554	1	127.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710001_1.fastq.gz	FASTQ	DNA	3755152	440623517	1	117.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710001_2.fastq.gz	FASTQ	DNA	3755152	441115352	2	117.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710002_1.fastq.gz	FASTQ	DNA	4251661	551266239	1	129.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710002_2.fastq.gz	FASTQ	DNA	4251661	551830234	1	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710004_1.fastq.gz	FASTQ	DNA	4761592	617431474	1	129.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710004_2.fastq.gz	FASTQ	DNA	4761592	611006396	1	128.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710005_1.fastq.gz	FASTQ	DNA	3184908	401451519	1	126.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710005_2.fastq.gz	FASTQ	DNA	3184908	400257935	3	125.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710010_1.fastq.gz	FASTQ	DNA	4613512	534676076	1	115.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710010_2.fastq.gz	FASTQ	DNA	4613512	535268202	1	116.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710014_1.fastq.gz	FASTQ	DNA	3521517	456919708	3	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710014_2.fastq.gz	FASTQ	DNA	3521517	457208779	3	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710015_1.fastq.gz	FASTQ	DNA	132964	17496057	8	131.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710015_2.fastq.gz	FASTQ	DNA	132964	17506456	3	131.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710017_1.fastq.gz	FASTQ	DNA	375276	48703808	3	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710017_2.fastq.gz	FASTQ	DNA	375276	48701782	3	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710018_1.fastq.gz	FASTQ	DNA	1378086	184622318	8	134.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710018_2.fastq.gz	FASTQ	DNA	1378086	183802370	3	133.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710019_1.fastq.gz	FASTQ	DNA	2570921	327030230	1	127.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710019_2.fastq.gz	FASTQ	DNA	2570921	327246326	1	127.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710020_1.fastq.gz	FASTQ	DNA	1437859	183765573	3	127.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710020_2.fastq.gz	FASTQ	DNA	1437859	183942016	8	127.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710021_1.fastq.gz	FASTQ	DNA	1895482	245422382	3	129.5	151
