accession	assembly_name	strain	isolate	scientific_name
GCA_964252695	LjRoot117v2			Acidovorax sp. LjRoot117
GCA_964252695	LjRoot117			plant metagenome
GCA_964252705	LjRoot125v2			Pseudoxanthomonas sp. LjRoot125
GCA_964252705	LjRoot125			plant metagenome
GCA_964252715	LjRoot296v2			Cupriavidus necator
GCA_964252715	LjRoot296			plant metagenome
GCA_964252725	LjRoot122v2			Massilia sp. LjRoot122
GCA_964252725	LjRoot122			plant metagenome
GCA_964252735	LjNodule214v2			Mesorhizobium sp. LjNodule214
GCA_964252735	LjNodule214			plant metagenome
GCA_964252745	LjRoot9v2			Allobosea sp. LjRoot9
GCA_964252745	LjRoot9			plant metagenome
GCA_964252755	LjRoot29v2			Caballeronia sp. LjRoot29
GCA_964252755	LjRoot29			plant metagenome
GCA_964252765	LjRoot11v2			Agrobacterium tumefaciens
GCA_964252765	LjRoot11			plant metagenome
GCA_964252775	LjRoot234v2			Mesorhizobium amorphae
GCA_964252775	LjRoot234			plant metagenome
GCA_964252785	LjRoot178v2			Variovorax sp. LjRoot178
GCA_964252785	LjRoot178			plant metagenome
GCA_964252795	LjRoot16v2			Devosia sp. LjRoot16
GCA_964252795	LjRoot16			plant metagenome
GCA_964252805	LjRoot131v2			Polaromonas sp. LjRoot131
GCA_964252805	LjRoot131			plant metagenome
GCA_964252815	LjRoot166v2			Acidovorax delafieldii
GCA_964252815	LjRoot166			plant metagenome
GCA_964252825	LjRoot241v2			Paraburkholderia hospita
GCA_964252825	LjRoot241			plant metagenome
GCA_964252835	LjRoot205v2			Microbacterium foliorum
GCA_964252835	LjRoot205			plant metagenome
GCA_964252855	LjRoot225v2			Phenylobacterium sp. LjRoot225
GCA_964252855	LjRoot225			plant metagenome
GCA_964252865	LjRoot3v2			Devosia sp. LjRoot3
GCA_964252865	LjRoot3			plant metagenome
GCA_964252875	LjRoot267v2			Paraburkholderia hospita
GCA_964252875	LjRoot267			plant metagenome
GCA_964252885	LjRoot257v2			Ensifer adhaerens
GCA_964252885	LjRoot257			plant metagenome
GCA_964252895	LjRoot7v2			Aminobacter sp. LjRoot7
GCA_964252895	LjRoot7			plant metagenome
GCA_964252905	LjRoot255v2			Pararhizobium sp. LjRoot255
GCA_964252905	LjRoot255			plant metagenome
GCA_964252915	LjRoot220v2			Bradyrhizobium sp. LjRoot220
GCA_964252915	LjRoot220			plant metagenome
GCA_964252925	LjRoot289v2			Pseudoduganella sp. LjRoot289
GCA_964252925	LjRoot289			plant metagenome
GCA_964252935	LjRoot98v2			Rhizobium sp. LjRoot98
GCA_964252935	LjRoot98			plant metagenome
GCA_964252945	LjRoot143v2			Pseudoxanthomonas sp. LjRoot143
GCA_964252945	LjRoot143			plant metagenome
GCA_964252955	LjRoot238v2			Pararhizobium sp. LjRoot238
GCA_964252955	LjRoot238			plant metagenome
GCA_964252965	LjRoot1			Achromobacter mucicolens
GCA_964252975	LjRoot38v2			Acidovorax sp. LjRoot38
GCA_964252975	LjRoot38			plant metagenome
GCA_964252985	LjRoot15v2			Peribacillus frigoritolerans
GCA_964252985	LjRoot15			plant metagenome
GCA_964252995	LjRoot219v2			Phenylobacterium sp. LjRoot219
GCA_964252995	LjRoot219			plant metagenome
GCA_964253005	LjRoot167			plant metagenome
