accession	assembly_name	strain	isolate	scientific_name
GCA_054049135	ASM5404913v1	P5_F3		Kitasatospora sp. P5_F3
GCA_054049155	ASM5404915v1	P5_F2		Kitasatospora sp. P5_F2
GCA_054049175	ASM5404917v1	P5_E9		Microbacterium sp. P5_E9
GCA_054049195	ASM5404919v1	P5_F1		Piscinibacter sp. P5_F1
GCA_054049215	ASM5404921v1	P5_E7		Roseateles sp. P5_E7
GCA_054049235	ASM5404923v1	P5_E6		Polaromonas sp. P5_E6
GCA_054049255	ASM5404925v1	P5_E4		Roseateles sp. P5_E4
GCA_054049275	ASM5404927v1	P5_E3		Nocardioides sp. P5_E3
GCA_054049295	ASM5404929v1	P5_E2		Burkholderiaceae bacterium P5_E2
GCA_054049315	ASM5404931v1	P5_E12		Cellulomonas sp. P5_E12
GCA_054049335	ASM5404933v1	P5_E1		Roseateles sp. P5_E1
GCA_054049355	ASM5404935v1	P5_E11		Roseateles sp. P5_E11
GCA_054049375	ASM5404937v1	P5_D8		Burkholderiaceae bacterium P5_D8
GCA_054049395	ASM5404939v1	P5_D7		Burkholderiaceae bacterium P5_D7
GCA_054049415	ASM5404941v1	P5_D6		Roseateles sp. P5_D6
GCA_054049435	ASM5404943v1	P5_D5		Polaromonas sp. P5_D5
GCA_054049455	ASM5404945v1	P5_D4		Paenibacillus sp. P5_D4
GCA_054049475	ASM5404947v1	P5_D2		Microvirga sp. P5_D2
GCA_054049495	ASM5404949v1	P5_D12		Phyllobacterium sp. P5_D12
GCA_054049515	ASM5404951v1	P5_D11		Streptomyces sp. P5_D11
GCA_054049535	ASM5404953v1	P5_D10		Aeromicrobium sp. P5_D10
GCA_054049555	ASM5404955v1	P5_C9_2		Nocardioides sp. P5_C9_2
GCA_054049575	ASM5404957v1	P5_C9		Burkholderiaceae bacterium P5_C9
GCA_054049595	ASM5404959v1	P5_C7		Tardiphaga sp. P5_C7
GCA_054049615	ASM5404961v1	P5_C8		Burkholderiaceae bacterium P5_C8
GCA_054049635	ASM5404963v1	P5_C6		Cellulomonas sp. P5_C6
GCA_054049655	ASM5404965v1	P5_C5		Cellulomonas sp. P5_C5
GCA_054049675	ASM5404967v1	P5_C3		Pseudomonas sp. P5_C3
GCA_054049695	ASM5404969v1	P5_C4		Lysobacter sp. P5_C4
GCA_054049715	ASM5404971v1	P5_C2		Rhizobacter sp. P5_C2
GCA_054049735	ASM5404973v1	P5_C12		Bradyrhizobium sp. P5_C12
GCA_054049755	ASM5404975v1	P5_C11_2		Bradyrhizobium sp. P5_C11_2
GCA_054049775	ASM5404977v1	P5_C11		Methylobacterium sp. P5_C11
GCA_054049795	ASM5404979v1	P5_C10		Tardiphaga sp. P5_C10
GCA_054049815	ASM5404981v1	P5_C1		Mesorhizobium sp. P5_C1
GCA_054049835	ASM5404983v1	P5_B9		Lysobacter sp. P5_B9
GCA_054049855	ASM5404985v1	P5_B8		Stenotrophomonas sp. P5_B8
GCA_054049875	ASM5404987v1	P5_B7_2		Usitatibacteraceae bacterium P5_B7_2
GCA_054049895	ASM5404989v1	P5_B7		Pedococcus sp. P5_B7
GCA_054177665	ASM5417766v1	P5_E8		Roseateles sp. P5_E8
GCA_054177685	ASM5417768v1	P5_A2_2		Pseudomonas sp. P5_A2_2
GCA_054177705	ASM5417770v1	P4_F12		Paenibacillus sp. P4_F12
GCA_054177725	ASM5417772v1	P4_D10		Rhodococcus sp. P4_D10
GCA_054177745	ASM5417774v1	P2_G12		Rhizobacter sp. P2_G12
GCA_056400345	ASM5640034v1	P5_B6		Microbacterium sp. P5_B6
GCA_056400365	ASM5640036v1	P5_B5		Paenibacillus sp. P5_B5
GCA_056400385	ASM5640038v1	P5_B4		Priestia sp. P5_B4
GCA_056400405	ASM5640040v1	P5_B3		Pseudomonas sp. P5_B3
GCA_056400425	ASM5640042v1	P5_B12		Lysobacter sp. P5_B12
GCA_056400445	ASM5640044v1	P5_B2		Pseudomonas sp. P5_B2
GCA_056400465	ASM5640046v1	P5_B11		Stenotrophomonas sp. P5_B11
GCA_056400485	ASM5640048v1	P5_B10		Roseateles sp. P5_B10
GCA_056400505	ASM5640050v1	P5_B1		Terrabacter sp. P5_B1
GCA_056400525	ASM5640052v1	P5_A9		Stenotrophomonas sp. P5_A9
GCA_056400545	ASM5640054v1	P5_A8		Stenotrophomonas sp. P5_A8
GCA_056400565	ASM5640056v1	P5_A7		Stenotrophomonas sp. P5_A7
GCA_056400585	ASM5640058v1	P5_A6		Mucilaginibacter sp. P5_A6
GCA_056400605	ASM5640060v1	P5_A4		Mucilaginibacter sp. P5_A4
GCA_056400625	ASM5640062v1	P5_A5		Allobosea sp. P5_A5
GCA_056400645	ASM5640064v1	P5_A2		Burkholderiaceae bacterium P5_A2
GCA_056400665	ASM5640066v1	P5_A3		Variovorax sp. P5_A3
GCA_056400685	ASM5640068v1	P5_A12		Pseudomonas sp. P5_A12
GCA_056400705	ASM5640070v1	P5_A11		Paenisporosarcina sp. P5_A11
GCA_056400725	ASM5640072v1	P5_A10		Stenotrophomonas sp. P5_A10
GCA_056400745	ASM5640074v1	P5_A1		Rhizobacter sp. P5_A1
GCA_056400765	ASM5640076v1	P4_H7		Ramlibacter sp. P4_H7
GCA_056400785	ASM5640078v1	P4_H7_2		Rhizorhabdus sp. P4_H7_2
GCA_056400805	ASM5640080v1	P4_H6_2		Aminobacter sp. P4_H6_2
GCA_056400825	ASM5640082v1	P4_H5		Allobosea sp. P4_H5
GCA_056400845	ASM5640084v1	P4_H6		Mycobacterium sp. P4_H6
GCA_056400865	ASM5640086v1	P4_H4		Cellulomonas sp. P4_H4
GCA_056400885	ASM5640088v1	P4_H3		Arthrobacter sp. P4_H3
GCA_056400905	ASM5640090v1	P4_H12		Cellulomonas sp. P4_H12
GCA_056400925	ASM5640092v1	P4_H11		Alsobacter sp. P4_H11
GCA_056400945	ASM5640094v1	P4_H1		Polaromonas sp. P4_H1
GCA_056400965	ASM5640096v1	P4_H10		Asticcacaulis sp. P4_H10
GCA_056400985	ASM5640098v1	P4_G9		Mucilaginibacter sp. P4_G9
GCA_056401005	ASM5640100v1	P4_G7		Microvirga sp. P4_G7
GCA_056401025	ASM5640102v1	P4_G8		Aminobacter sp. P4_G8
GCA_056401045	ASM5640104v1	P4_G6		Rhizorhabdus sp. P4_G6
