accession	assembly_name	collection	sample_accession	scientific_name	base_count
GCA_052113145	ASM5211314v1	AtSC	SAMN42732147	Bacillus sp. YAF8	3784230
GCA_052113185	ASM5211318v1	AtSC	SAMN42732146	Leifsonia sp. YAF41	4151440
GCA_052113205	ASM5211320v1	AtSC	SAMN42732144	Inquilinus sp. YAF38	7631514
GCA_052113225	ASM5211322v1	AtSC	SAMN42732145	Paenibacillus sp. YAF4_2	6291777
GCA_052113245	ASM5211324v1	AtSC	SAMN42732143	Arthrobacter sp. YAF34	4263885
GCA_052113265	ASM5211326v1	AtSC	SAMN42732142	Novosphingobium sp. YAF33	5927869
GCA_052113285	ASM5211328v1	AtSC	SAMN42732141	Rhizobium sp. YAF28	6693589
GCA_052113305	ASM5211330v1	AtSC	SAMN42732140	Terriglobus sp. YAF25	5574739
GCA_052113325	ASM5211332v1	AtSC	SAMN42732139	Janibacter sp. YAF2_2	3147611
GCA_052113345	ASM5211334v1	AtSC	SAMN42732138	Pseudarthrobacter sp. YAF2	4621849
GCA_052113365	ASM5211336v1	AtSC	SAMN42732137	Arthrobacter sp. YAF17	4107163
GCA_052113385	ASM5211338v1	AtSC	SAMN42732136	Arthrobacter sp. YAF16	3628328
GCA_052113405	ASM5211340v1	AtSC	SAMN42732134	Bacillus sp. YAF12_1	5987367
GCA_052113425	ASM5211342v1	AtSC	SAMN42732135	Cupriavidus sp. YAF13	8817287
GCA_052113445	ASM5211344v1	AtSC	SAMN42732133	Paenarthrobacter sp. YAF11_1	4945439
GCA_052113465	ASM5211346v1	AtSC	SAMN42732132	Pseudomonas sp. TAF7	6503037
GCA_052113485	ASM5211348v1	AtSC	SAMN42732131	Lysobacter sp. TAF61	3868614
GCA_052113505	ASM5211350v1	AtSC	SAMN42732130	Pseudarthrobacter sp. TAF60_1	4367851
GCA_052113525	ASM5211352v1	AtSC	SAMN42732127	Rhodococcus sp. TAF43	6032747
GCA_052113545	ASM5211354v1	AtSC	SAMN42732128	Paenibacillus sp. TAF43_2	7411731
GCA_052113585	ASM5211358v1	AtSC	SAMN42732126	Allobosea sp. TAF32	5843439
GCA_052113785	ASM5211378v1	AtSC	SAMN42732125	Phyllobacterium sp. TAF24	5446027
GCA_052113805	ASM5211380v1	AtSC	SAMN42732129	Paenibacillus sp. TAF58	7532473
GCA_052113825	ASM5211382v1	AtSC	SAMN42732124	Paenarthrobacter sp. TAF1	4550972
GCA_052113845	ASM5211384v1	AtSC	SAMN42732123	Stenotrophomonas sp. TAB6	4521093
GCA_052113865	ASM5211386v1	AtSC	SAMN42732122	Allobosea sp. TAB14	5566822
GCA_052113885	ASM5211388v1	AtSC	SAMN42732121	Lysobacter sp. TAB13	6167991
GCA_052113905	ASM5211390v1	AtSC	SAMN42732120	Paenarthrobacter sp. RAF9	4037666
GCA_052113925	ASM5211392v1	AtSC	SAMN42732119	Terrabacter sp. RAF57	4884266
GCA_052113945	ASM5211394v1	AtSC	SAMN42732117	Paenarthrobacter sp. RAF54_2	5546528
GCA_052113965	ASM5211396v1	AtSC	SAMN42732118	Rhizobium sp. RAF56	5944358
GCA_052113985	ASM5211398v1	AtSC	SAMN42732116	Pseudoduganella sp. RAF53_2	6365101
GCA_052114005	ASM5211400v1	AtSC	SAMN42732115	Marmoricola sp. RAF53	4316008
GCA_052114025	ASM5211402v1	AtSC	SAMN42732113	Allobosea sp. RAF48	6222578
GCA_052114035	ASM5211403v1	AtSC	SAMN42732114	Janibacter sp. RAF52	3151261
GCA_052114065	ASM5211406v1	AtSC	SAMN42732112	Specibacter sp. RAF43	3607834
GCA_052114085	ASM5211408v1	AtSC	SAMN42732111	Leifsonia sp. RAF41	3647809
GCA_052114105	ASM5211410v1	AtSC	SAMN42732110	Rhizobium sp. RAF36	5972087
GCA_052114125	ASM5211412v1	AtSC	SAMN42732108	Cupriavidus sp. RAF20_2	5933307
GCA_052114145	ASM5211414v1	AtSC	SAMN42732109	Janibacter sp. RAF20_2_2	2826952
GCA_052114165	ASM5211416v1	AtSC	SAMN42732107	Pseudoduganella sp. RAF19	6586838
GCA_052114185	ASM5211418v1	AtSC	SAMN42732106	Arthrobacter sp. RAF14	3619216
GCA_052114205	ASM5211420v1	AtSC	SAMN42732105	Cupriavidus sp. RAF12	6757405
GCA_052114225	ASM5211422v1	AtSC	SAMN42732104	Chitinophaga sp. RAB17	9271751
GCA_052114245	ASM5211424v1	AtSC	SAMN42732102	Pseudomonas sp. PAB10	6292951
GCA_052114265	ASM5211426v1	AtSC	SAMN42732101	Paenibacillus sp. MCAF9	7509865
GCA_052114285	ASM5211428v1	AtSC	SAMN42732103	Achromobacter sp. PAB15	6664200
GCA_052114305	ASM5211430v1	AtSC	SAMN42732100	Streptomyces sp. MCAF7	9827538
GCA_052114325	ASM5211432v1	AtSC	SAMN42732098	Glutamicibacter sp. MCAF14	3706089
GCA_052114345	ASM5211434v1	AtSC	SAMN42732099	Paenibacillus sp. MCAF20	6564083
GCA_052114365	ASM5211436v1	AtSC	SAMN42732097	Agrobacterium sp. MCAB5	5958036
GCA_052114385	ASM5211438v1	AtSC	SAMN42732096	Variovorax sp. M-6	7285088
GCA_052114405	ASM5211440v1	AtSC	SAMN42732095	Streptomyces sp. M-16	9148561
GCA_052114425	ASM5211442v1	AtSC	SAMN42732094	Brevundimonas sp. M-11_2	2988634
