contig	length	class_inferred	manual_blast_class	total_double_mapped_reads	Lotus_alignment	barley_alignment	per_sample_double_mapped
REFERENCE_000000048765	8848	eukaryotic_rDNA_18S_third_eukaryote_neither_host	host_derived	18775	3118bp@83.9%:AP022630.1	6531bp@66.3%:JBYTTC010000017.1	Lj_LjSC_ES_low_B4=9892;Hv_HvSC_ES_low_B2=5053;Lj_HvSC_NOD_low_B2=1420;Lj_LjSC_NOD_low_B3=881;Hv_HvSC_RZ_high_B2=772;Lj_LjSC_RZ_low_B4=757
REFERENCE_000000070643	1800	Lotus_derived_full_length	host_derived	9864	1798bp@98.4%:AP022632.1	none	Lj_LjSC_ES_low_B4=7670;Lj_HvSC_NOD_low_B2=1005;Lj_LjSC_NOD_low_B3=649;Lj_LjSC_RZ_low_B4=540
REFERENCE_000000067464	1378	Lotus_derived_full_length	host_derived	8595	1376bp@98.2%:AP022631.1	65bp@90.6%:CM179219.1	Lj_LjSC_ES_low_B4=6565;Lj_HvSC_NOD_low_B2=1020;Lj_LjSC_NOD_low_B3=535;Lj_LjSC_RZ_low_B4=475
REFERENCE_000000063425	1516	Lotus_derived_full_length	host_derived	6162	1511bp@95.6%:AP022633.1	none	Lj_LjSC_ES_low_B4=4617;Lj_HvSC_NOD_low_B2=749;Lj_LjSC_NOD_low_B3=435;Lj_LjSC_RZ_low_B4=361
REFERENCE_000000006233	1282	barley_derived_full_length	host_derived	5974	none	1273bp@97.5%:CM179216.1	Hv_HvSC_ES_low_B2=5195;Hv_HvSC_RZ_high_B2=779
REFERENCE_000000011045	28691	unclassified_short_shared_motif_only	bacterial	168	none	none	Hv_HvSC_ES_low_B2=107;Hv_HvSC_RZ_high_B2=61
REFERENCE_000000060903	2481	unclassified_short_shared_motif_only	bacterial	82	80bp@97.5%:AP022630.1	1158bp@78.3%:JBYTTC010001057.1	Lj_LjSC_ES_low_B4=72;Lj_HvSC_NOD_low_B2=6;Lj_LjSC_RZ_low_B4=4
REFERENCE_000000011784	18547	unclassified_short_shared_motif_only	bacterial	65	none	none	Hv_HvSC_ES_low_B2=60;Hv_HvSC_RZ_high_B2=5
REFERENCE_000000003346	3933	unclassified_short_shared_motif_only	bacterial	63	366bp@83.0%:AP022631.1	1009bp@79.0%:JBYTTC010000194.1	Lj_LjSC_ES_low_B4=31;Lj_HvSC_NOD_low_B2=12;Lj_LjSC_NOD_low_B3=9;Hv_HvSC_RZ_high_B2=6;Lj_LjSC_RZ_low_B4=5
REFERENCE_000000001157	1963	unclassified_short_shared_motif_only	bacterial	40	868bp@78.7%:AP022637.1	868bp@79.6%:JBYTTC010001133.1	Lj_HvSC_NOD_low_B2=20;Lj_LjSC_NOD_low_B3=8;Lj_LjSC_ES_low_B4=6;Lj_LjSC_RZ_low_B4=4;Hv_HvSC_RZ_high_B2=2
REFERENCE_000000066994	1226	unclassified_short_shared_motif_only	bacterial	38	56bp@100.0%:AP022634.1	56bp@100.0%:CM179218.1	Hv_HvSC_ES_low_B2=22;Lj_LjSC_ES_low_B4=6;Lj_LjSC_RZ_low_B4=6;Lj_LjSC_NOD_low_B3=4
REFERENCE_000000006673	1115	unclassified_short_shared_motif_only	bacterial	32	165bp@92.1%:AP022636.1	165bp@92.1%:JBYTTC010000224.1	Lj_LjSC_ES_low_B4=31;Lj_LjSC_RZ_low_B4=1
REFERENCE_000000029339	1457	unclassified_short_shared_motif_only	bacterial	30	1209bp@78.9%:AP022636.1	550bp@82.7%:JBYTTC010000036.1	Lj_HvSC_NOD_low_B2=20;Lj_LjSC_RZ_low_B4=4;Lj_LjSC_NOD_low_B3=4;Lj_LjSC_ES_low_B4=2
REFERENCE_000000044359	3832	unclassified_short_shared_motif_only	bacterial	24	364bp@79.2%:AP022633.1	514bp@80.6%:JBYTTC010000309.1	Lj_LjSC_ES_low_B4=15;Lj_LjSC_NOD_low_B3=5;Lj_LjSC_RZ_low_B4=2;Lj_HvSC_NOD_low_B2=1;Hv_HvSC_RZ_high_B2=1
REFERENCE_000000054968	1164	unclassified_short_shared_motif_only	bacterial	23	1161bp@78.5%:AP022636.1	1161bp@77.7%:CM179214.1	Lj_LjSC_ES_low_B4=20;Lj_LjSC_NOD_low_B3=2;Hv_HvSC_ES_low_B2=1
REFERENCE_000000057342	1014	unclassified_short_shared_motif_only	bacterial	16	none	none	Hv_HvSC_ES_low_B2=14;Hv_HvSC_RZ_high_B2=2
REFERENCE_000000027478	1016	unclassified_short_shared_motif_only	bacterial	13	180bp@92.8%:AP022636.1	180bp@92.8%:JBYTTC010000179.1	Lj_LjSC_ES_low_B4=11;Lj_HvSC_NOD_low_B2=2
