accession	assembly_name	sample_accession	scientific_name	base_count
GCA_056393805	ASM5639380v1	SAMN42773612	Caulobacter sp. 10T49	5291987
GCA_056393825	ASM5639382v1	SAMN42773610	Caulobacter sp. 10T46	5292199
GCA_056393845	ASM5639384v1	SAMN42773611	Agrobacterium sp. 10T48	5757674
GCA_056393865	ASM5639386v1	SAMN42773609	Cupriavidus sp. 10T45	5954436
GCA_056393885	ASM5639388v1	SAMN42773608	Arthrobacter sp. 10T44	3614177
GCA_056393905	ASM5639390v1	SAMN42773607	Cupriavidus sp. 10T430	5979162
GCA_056393925	ASM5639392v1	SAMN42773606	Agrobacterium sp. 10T429	5623895
GCA_056393945	ASM5639394v1	SAMN42773604	Microbacterium sp. 10T427	4219587
GCA_056393965	ASM5639396v1	SAMN42773603	Pedobacter sp. 10T426	6528687
GCA_056393985	ASM5639398v1	SAMN42773602	Arthrobacter sp. 10T425	4493550
GCA_056394005	ASM5639400v1	SAMN42773601	Cupriavidus sp. 10T424	6018422
GCA_056394025	ASM5639402v1	SAMN42773600	Rhizobium sp. 10T423_2	5649023
GCA_056394045	ASM5639404v1	SAMN42773599	Achromobacter sp. 10T423	6646189
GCA_056394065	ASM5639406v1	SAMN42773598	Achromobacter sp. 10T422	6674302
GCA_056394085	ASM5639408v1	SAMN42773597	Pseudomonas sp. 10T42	4779204
GCA_056394105	ASM5639410v1	SAMN42773596	Arthrobacter sp. 10T419	3840686
GCA_056394125	ASM5639412v1	SAMN42773595	Chitinophaga sp. 10T418	9218880
GCA_056394145	ASM5639414v1	SAMN42773594	Cupriavidus sp. 10T417	5765413
GCA_056394165	ASM5639416v1	SAMN42773593	Arthrobacter sp. 10T416	3446184
GCA_056394175	ASM5639417v1	SAMN42773592	Pseudarthrobacter sp. 10T415	4653369
GCA_056394205	ASM5639420v1	SAMN42773591	Arthrobacter sp. 10T413_2	4993467
GCA_056394225	ASM5639422v1	SAMN42773590	Cupriavidus sp. 10T413	6692885
GCA_056394245	ASM5639424v1	SAMN42773589	Pseudomonas sp. 10T411	6584450
GCA_056394265	ASM5639426v1	SAMN42773588	Cupriavidus sp. 10T410	8790546
GCA_056394285	ASM5639428v1	SAMN42773586	Pseudomonas sp. 10T36	6283273
GCA_056394305	ASM5639430v1	SAMN42773587	Pseudomonas sp. 10T41	6579533
GCA_056394325	ASM5639432v1	SAMN42773585	Stenotrophomonas sp. 10T35_2	4737595
GCA_056394345	ASM5639434v1	SAMN42773584	Pseudomonas sp. 10T33	6577999
GCA_056394365	ASM5639436v1	SAMN42773583	Lysinibacillus sp. 10T31	5394525
GCA_056394385	ASM5639438v1	SAMN42773582	Arthrobacter sp. 10N44_2	4532437
GCA_056394405	ASM5639440v1	SAMN42773580	Leifsonia sp. 10N434	4053221
GCA_056394425	ASM5639442v1	SAMN42773581	Cupriavidus sp. 10N44_1	6739381
