accession	assembly_name	sample_accession	scientific_name	base_count
GCA_964252695	LjRoot117v2	SAMEA115676832	Acidovorax sp. LjRoot117	6094667
GCA_964252695	LjRoot117	SAMEA115676832	plant metagenome	6095867
GCA_964252705	LjRoot125v2	SAMEA115676835	Pseudoxanthomonas sp. LjRoot125	4000338
GCA_964252705	LjRoot125	SAMEA115676835	plant metagenome	4000738
GCA_964252715	LjRoot296v2	SAMEA115676934	Cupriavidus necator	8835097
GCA_964252715	LjRoot296	SAMEA115676934	plant metagenome	8835197
GCA_964252725	LjRoot122v2	SAMEA115676834	Massilia sp. LjRoot122	5836280
GCA_964252725	LjRoot122	SAMEA115676834	plant metagenome	5836380
GCA_964252735	LjNodule214v2	SAMEA115676823	Mesorhizobium sp. LjNodule214	7744791
GCA_964252735	LjNodule214	SAMEA115676823	plant metagenome	7745391
GCA_964252745	LjRoot9v2	SAMEA115676969	Allobosea sp. LjRoot9	6773982
GCA_964252745	LjRoot9	SAMEA115676969	plant metagenome	6775282
GCA_964252755	LjRoot29v2	SAMEA115676930	Caballeronia sp. LjRoot29	7871953
GCA_964252755	LjRoot29	SAMEA115676930	plant metagenome	7873853
GCA_964252765	LjRoot11v2	SAMEA115676829	Agrobacterium tumefaciens	5402501
GCA_964252765	LjRoot11	SAMEA115676829	plant metagenome	5403901
GCA_964252775	LjRoot234v2	SAMEA115676891	Mesorhizobium amorphae	7030434
GCA_964252775	LjRoot234	SAMEA115676891	plant metagenome	7031234
GCA_964252785	LjRoot178v2	SAMEA115676864	Variovorax sp. LjRoot178	8198234
GCA_964252785	LjRoot178	SAMEA115676864	plant metagenome	8201034
GCA_964252795	LjRoot16v2	SAMEA115676854	Devosia sp. LjRoot16	5894209
GCA_964252795	LjRoot16	SAMEA115676854	plant metagenome	5896664
GCA_964252805	LjRoot131v2	SAMEA115676840	Polaromonas sp. LjRoot131	5117782
GCA_964252805	LjRoot131	SAMEA115676840	plant metagenome	5118954
GCA_964252815	LjRoot166v2	SAMEA115676858	Acidovorax delafieldii	5479910
GCA_964252815	LjRoot166	SAMEA115676858	plant metagenome	5480410
GCA_964252825	LjRoot241v2	SAMEA115676898	Paraburkholderia hospita	11360794
GCA_964252825	LjRoot241	SAMEA115676898	plant metagenome	11362594
GCA_964252835	LjRoot205v2	SAMEA115676874	Microbacterium foliorum	3881159
GCA_964252835	LjRoot205	SAMEA115676874	plant metagenome	3881659
GCA_964252855	LjRoot225v2	SAMEA115676882	Phenylobacterium sp. LjRoot225	5682776
GCA_964252855	LjRoot225	SAMEA115676882	plant metagenome	5683276
GCA_964252865	LjRoot3v2	SAMEA115676936	Devosia sp. LjRoot3	4785905
GCA_964252865	LjRoot3	SAMEA115676936	plant metagenome	4786505
GCA_964252875	LjRoot267v2	SAMEA115676917	Paraburkholderia hospita	11989812
GCA_964252875	LjRoot267	SAMEA115676917	plant metagenome	11989912
GCA_964252885	LjRoot257v2	SAMEA115676910	Ensifer adhaerens	7559888
GCA_964252885	LjRoot257	SAMEA115676910	plant metagenome	7560188
GCA_964252895	LjRoot7v2	SAMEA115676959	Aminobacter sp. LjRoot7	6274453
GCA_964252895	LjRoot7	SAMEA115676959	plant metagenome	6275453
GCA_964252905	LjRoot255v2	SAMEA115676909	Pararhizobium sp. LjRoot255	5693676
GCA_964252905	LjRoot255	SAMEA115676909	plant metagenome	5693976
